가다,go
가르치다,teach
가져가다,"take, carry"
가져오다,bring
가지다,have
갈아타다,transfer (eg. transfer to subway line 9)
감다,close (one's eyes)
감사하다,appreciate
갖다,have
걱정하다,worry
건너가다,cross (over)
건너다,cross (over)
걷다,walk
"걸다 (clothing, picture, etc)",hang
걸다 (communication),"call, phone, speak (to)"
"걸리다 (clothing, picture, etc)",hang
걸리다 (illness),"contract, catch (a cold)"
걸리다 (carry),take
걸이가다,walk to
걸이오다,walk from
결정하다,decide
결혼하다,marry
경험하다,experience
계산하다,calculate
계시다,be
고르다,choose
고치다,repair
공부하다,study
관광하다,go sightseeing
구경하다,look around
구하다,"look for, seek"
굽다,grill
그리다,draw (a picture)
그치다,stop
기다리다,wait
기르다,raise (a child)
기뻐하다,be pleased
기억하다,remember
긴장되다,be nervous
길다,long (adjective)
깎다,cut (hair)
깨다,break
